Pair_ID,Drug,Active,DrugBank_ID,PubChem_CID,OrigYear,NewIndication,MONDO_ID,MeSH_ID,DOID_ID,Agencies,TA,TA_simplified,StrictRepurposing,Drug_Pre2023,YearSet,ID_Flag,n_present,primekg_drug,drkg_drug,biokg_drug,dkey,leaked,unresolvable,in234,in116,covered,drug_anyKG
25,Jemperli,dostarlimab,DB15627,,2021,dMMR/MSI-H primary advanced endometrial cancer (+chemo),MONDO:0011962,D016889,DOID:1380,FDA,Oncology,Oncology,True,True,2023,missing_PubChem,1,True,False,False,DB15627|d|1380,False,False,True,True,True,True
26,Lonsurf+Avastin,trifluridine/tipiracil+bevacizumab,"DB00432,DB02631,DB00112","6256,6323266,",2015,Metastatic colorectal cancer,MONDO:0024331,D015179,DOID:0080199,FDA,Oncology,Oncology,True,True,2023,partial_PubChem,0,False,False,False,"DB00432,DB02631,DB00112|d|80199",False,False,True,False,False,False
27,Gavreto,pralsetinib,DB15822,129073603,2020,NSCLC with RET gene fusions (regular approval),MONDO:0005233,D002289,DOID:3908,FDA,Oncology,Oncology,True,True,2023,complete,0,False,False,False,DB15822|d|3908,False,False,True,False,False,False
28,Ingrezza,valbenazine,DB11915,24795069,2017,Chorea associated with Huntington's disease,MONDO:0007739,D006816,DOID:12858,FDA,CNS,CNS,True,True,2023,complete,3,True,True,True,DB11915|d|12858,False,False,True,True,True,True
29,Reblozyl,luspatercept,DB12281,,2019,First-line anemia in lower-risk MDS,MONDO:0018881,D009190,DOID:0050908,FDA,Hematology,Hematology,True,True,2023,missing_PubChem,3,True,True,True,DB12281|d|50908,False,False,True,True,True,True
30,Bosulif,bosutinib,DB06616,5328940,2012,Pediatric Ph+ CML-CP,MONDO:0011996,D015464,DOID:0081088,FDA,Oncology,Oncology,True,True,2023,complete,3,True,True,True,DB06616|d|81088,True,False,True,False,True,True
31,Entyvio,vedolizumab,DB09033,,2014,Subcutaneous maintenance UC,MONDO:0005101,D003093,DOID:8577,FDA,Immunology/GI,Immunology,False,True,2023,missing_PubChem,3,True,True,True,DB09033|d|8577,True,False,True,False,True,True
32,Cosentyx,secukinumab,DB09029,,2015,Hidradenitis suppurativa,MONDO:0006559,D017497,DOID:2280,FDA,Immunology/Dermatology,Immunology,True,True,2023,missing_PubChem,3,True,True,True,DB09029|d|2280,False,False,True,True,True,True
33,Braftovi+Mektovi,encorafenib+binimetinib,"DB11718,DB11967","50922675,10288191",2018,BRAF V600E metastatic NSCLC,MONDO:0005233,D002289,DOID:3908,FDA,Oncology,Oncology,True,True,2023,complete,0,False,False,False,"DB11718,DB11967|d|3908",False,False,True,False,False,False
34,Opdivo,nivolumab,DB09035,,2014,Adjuvant stage IIB/IIC melanoma,MONDO:0005105,D008545,DOID:1909,FDA,Oncology,Oncology,True,True,2023,missing_PubChem,3,True,True,True,DB09035|d|1909,True,False,True,False,True,True
