family,model,kg,n,parse_rate,mrr,n_failed,mrr_corrected,shift
capacity,Llama-3.1-405B,biokg,696,1.0,0.6296798029556651,0,0.6296798029556651,0.0
capacity,Llama-3.1-405B,drkg,696,1.0,0.6030748266739646,0,0.6030748266739646,0.0
capacity,Llama-3.1-405B,none,696,0.9827586206896551,0.3163160235358511,12,0.3198540392673121,0.0035
capacity,Llama-3.1-405B,primekg,696,1.0,0.7024636243386243,0,0.7024636243386243,0.0
capacity,Llama-3.1-8B,biokg,696,1.0,0.4992531016237913,0,0.4992531016237913,0.0
capacity,Llama-3.1-8B,drkg,696,1.0,0.4971766101076446,0,0.4971766101076446,0.0
capacity,Llama-3.1-8B,none,696,1.0,0.3118979200875752,0,0.3118979200875752,0.0
capacity,Llama-3.1-8B,primekg,696,1.0,0.561964627805145,0,0.561964627805145,0.0
capacity,Llama-3.2-1B,biokg,696,0.9755747126436781,0.2517241379310345,17,0.2551586515171533,0.0034
capacity,Llama-3.2-1B,drkg,696,0.9827586206896551,0.2257047071702244,12,0.227680458826416,0.002
capacity,Llama-3.2-1B,none,696,0.9568965517241379,0.2833487274220033,30,0.2907727626078176,0.0074
capacity,Llama-3.2-1B,primekg,696,0.9525862068965517,0.2732986681262543,33,0.28098859539852405,0.0077
capacity,Llama-3.2-3B,biokg,696,0.9985632183908046,0.34108796296296295,1,0.34141838947424435,0.0003
capacity,Llama-3.2-3B,drkg,696,0.9971264367816092,0.3627565681444992,2,0.3634796872739055,0.0007
capacity,Llama-3.2-3B,none,696,0.9985632183908046,0.32273022714833055,1,0.323034277602407,0.0003
capacity,Llama-3.2-3B,primekg,696,0.9971264367816092,0.39483727878124425,2,0.39565258386075614,0.0008
capacity,Llama-3.3-70B,biokg,696,0.9985632183908046,0.6121117268746579,1,0.6128315553455825,0.0007
capacity,Llama-3.3-70B,drkg,696,1.0,0.5901968162744025,0,0.5901968162744025,0.0
capacity,Llama-3.3-70B,none,696,1.0,0.3043023627075351,0,0.3043023627075351,0.0
capacity,Llama-3.3-70B,primekg,696,1.0,0.658953087940157,0,0.658953087940157,0.0
common3,GPT-4.1-mini,biokg,684,1.0,0.6413029100529101,0,0.6413029100529101,0.0
common3,GPT-4.1-mini,drkg,684,1.0,0.6182348231690337,0,0.6182348231690337,0.0
common3,GPT-4.1-mini,none,684,1.0,0.3258789334447229,0,0.3258789334447229,0.0
common3,GPT-4.1-mini,primekg,684,1.0,0.6381683375104428,0,0.6381683375104428,0.0
common3,Gemini-3.1-Flash-Lite,biokg,684,0.9839181286549707,0.691201383087348,11,0.7005303202097729,0.0093
common3,Gemini-3.1-Flash-Lite,drkg,684,0.97953216374269,0.7060713125406108,14,0.718248860523086,0.0122
common3,Gemini-3.1-Flash-Lite,none,684,0.9853801169590644,0.29099020699897893,10,0.2936200183423688,0.0026
common3,Gemini-3.1-Flash-Lite,primekg,684,0.9809941520467836,0.7205444165970482,13,0.73212721333874,0.0116
main,GPT-4.1-mini,biokg,696,0.9956896551724138,0.668923326035395,3,0.6713276890307582,0.0024
main,GPT-4.1-mini,drkg,696,0.9985632183908046,0.6361122514139755,1,0.6368665633971693,0.0008
main,GPT-4.1-mini,none,696,1.0,0.2615940293742018,0,0.2615940293742018,0.0
main,GPT-4.1-mini,primekg,696,1.0,0.7471920041963146,0,0.7471920041963146,0.0
main,Gemini-3.1-Flash-Lite,biokg,696,0.985632183908046,0.7196000957854406,10,0.7283427536112212,0.0087
main,Gemini-3.1-Flash-Lite,drkg,696,0.9841954022988506,0.6870501505199781,11,0.6961526353382217,0.0091
main,Gemini-3.1-Flash-Lite,none,696,0.9899425287356322,0.22804346834519246,7,0.22921951216794903,0.0012
main,Gemini-3.1-Flash-Lite,primekg,696,0.9798850574712644,0.7795931399379674,14,0.7930396175293122,0.0134
main,Llama-3.3-70B,biokg,696,0.9985632183908046,0.6121117268746579,1,0.6128315553455825,0.0007
main,Llama-3.3-70B,drkg,696,1.0,0.5901968162744025,0,0.5901968162744025,0.0
main,Llama-3.3-70B,none,696,1.0,0.3043023627075351,0,0.3043023627075351,0.0
main,Llama-3.3-70B,primekg,696,1.0,0.658953087940157,0,0.658953087940157,0.0
