family,model,contrast,n_units,diff,lo,hi,separates
covered,GPT-4.1-mini,PrimeKG - BioKG,72,0.03821557172251617,-0.023567042364785417,0.10247602513227512,False
covered,GPT-4.1-mini,PrimeKG - DRKG,72,0.07482271457965901,0.027530818268665484,0.1236974344135802,True
covered,GPT-4.1-mini,BioKG - DRKG,72,0.036607142857142866,-0.026073311654908875,0.09731506742357433,False
covered,Gemini-3.1-Flash-Lite,PrimeKG - BioKG,72,0.019718180482069365,-0.030656553130511455,0.07372531323486178,False
covered,Gemini-3.1-Flash-Lite,PrimeKG - DRKG,72,0.042303240740740745,-0.016916496729864786,0.10106247244268077,False
covered,Gemini-3.1-Flash-Lite,BioKG - DRKG,72,0.022585060258671377,-0.03186978707378014,0.07544335133744855,False
covered,Llama-3.3-70B,PrimeKG - BioKG,72,0.015746252204585556,-0.042733226778365656,0.0773451737948266,False
covered,Llama-3.3-70B,PrimeKG - DRKG,72,0.04315843621399177,-0.012045464983833038,0.09738820914168136,False
covered,Llama-3.3-70B,BioKG - DRKG,72,0.027412184009406218,-0.03137412275867137,0.08692501653439154,False
