family,model,contrast,n_units,diff,lo,hi,separates
common3,GPT-4.1-mini,PrimeKG - BioKG,71,-0.005634423826912093,-0.0642271452790819,0.05073508954964352,False
common3,GPT-4.1-mini,PrimeKG - DRKG,71,0.016172963708174972,-0.03845705405271132,0.07004224420597657,False
common3,GPT-4.1-mini,BioKG - DRKG,71,0.02180738753508707,-0.032440134634970315,0.07534046873835609,False
common3,Gemini-3.1-Flash-Lite,PrimeKG - BioKG,71,0.02688600740243932,-0.02658982444046998,0.08187533379288074,False
common3,Gemini-3.1-Flash-Lite,PrimeKG - DRKG,71,0.012052562287304072,-0.03882803767046725,0.06149426652507638,False
common3,Gemini-3.1-Flash-Lite,BioKG - DRKG,71,-0.01483344511513526,-0.06959263295824329,0.03747711578110637,False
