family,model,arm,n_units,mrr,lo,hi,lift,lift_lo,lift_hi,params_B
capacity,Llama-3.2-1B,PrimeKG,116,0.2732986681262543,0.2526132320744389,0.2942622810618501,-0.010050059295748946,-0.03871834234172596,0.019045452472176615,1
capacity,Llama-3.2-1B,No KG,116,0.2833487274220033,0.26369689039408867,0.30328274664750965,,,,1
capacity,Llama-3.2-1B,BioKG,116,0.2517241379310345,0.22944618340631268,0.27465691137566134,-0.03162458949096879,-0.06016266420361248,-0.0023912436143039505,1
capacity,Llama-3.2-1B,DRKG,116,0.2257047071702244,0.207947640143222,0.24484617314358695,-0.057644020251778866,-0.08447229634190839,-0.03102231002554277,1
capacity,Llama-3.2-3B,DRKG,116,0.36275656814449914,0.34018833527184816,0.3852248677248677,0.040026340996168586,0.00825924215471629,0.07118776797117313,3
capacity,Llama-3.2-3B,BioKG,116,0.34108796296296284,0.31720211013045063,0.3654587153347929,0.01835773581463237,-0.008942411854588581,0.045883763227513225,3
capacity,Llama-3.2-3B,No KG,116,0.32273022714833066,0.3031822289500091,0.34286636505655893,,,,3
capacity,Llama-3.2-3B,PrimeKG,116,0.3948372787812443,0.36748409277504107,0.42229612810162376,0.0721070516329137,0.03898855135924103,0.10542499087757708,3
capacity,Llama-3.1-8B,No KG,116,0.3118979200875753,0.2889789443076082,0.33585655275041043,,,,8
capacity,Llama-3.1-8B,PrimeKG,116,0.5619646278051449,0.5117082164522897,0.6129033108693669,0.2500667077175698,0.19480178685458863,0.30572561747400107,8
capacity,Llama-3.1-8B,BioKG,116,0.49925310162379133,0.4508377234993613,0.5482833880678708,0.18735518153621608,0.1318959245575625,0.24356414488688197,8
capacity,Llama-3.1-8B,DRKG,116,0.4971766101076446,0.44475091509304876,0.5497910252463054,0.1852786900200693,0.1299518792191206,0.2437403501870096,8
capacity,Llama-3.3-70B,PrimeKG,116,0.658953087940157,0.604172368180989,0.7118134949142493,0.3546507252326218,0.29875124007936504,0.41236160999361426,70
capacity,Llama-3.3-70B,No KG,116,0.30430236270753513,0.27953603927203063,0.33156831554460864,,,,70
capacity,Llama-3.3-70B,DRKG,116,0.5901968162744023,0.5325857507754059,0.6498170954205436,0.2858944535668674,0.2215430578361613,0.3477204918126254,70
capacity,Llama-3.3-70B,BioKG,116,0.6121117268746579,0.5569514287994891,0.6646523501642035,0.3078093641671228,0.243937394521985,0.3692569643997445,70
capacity,Llama-3.1-405B,DRKG,116,0.6030748266739645,0.5400503301176792,0.6649707939928845,0.2867588031381134,0.2235621778644408,0.35043312978927205,405
capacity,Llama-3.1-405B,BioKG,116,0.629679802955665,0.5723721720488962,0.6869112473773032,0.3133637794198139,0.25363157954752785,0.3742795709040321,405
capacity,Llama-3.1-405B,PrimeKG,116,0.7024636243386243,0.6474011927567962,0.7562320544836708,0.3861476008027732,0.32679415252691113,0.4429135450875753,405
capacity,Llama-3.1-405B,No KG,116,0.31631602353585114,0.29527040857051623,0.33806215505838344,,,,405
