family,model,arm,n_units,mrr,lo,hi,lift,lift_lo,lift_hi
common3,GPT-4.1-mini,No KG,71,0.32804232804232797,0.3013832765109174,0.35488199257272013,,,
common3,GPT-4.1-mini,PrimeKG,71,0.6350982437836898,0.5657166300270761,0.7009376630151276,0.30705591574136176,0.2295234990188042,0.38243099802518815
common3,GPT-4.1-mini,BioKG,71,0.6407326676106019,0.572207744926348,0.7073083174975779,0.3126903395682738,0.23962565516556128,0.384807673199692
common3,GPT-4.1-mini,DRKG,71,0.6189252800755148,0.5527720179099288,0.6822740455076136,0.29088295203318676,0.21763576831358528,0.36263757700524135
common3,Gemini-3.1-Flash-Lite,No KG,71,0.29119159400849537,0.26205901302879,0.3240619566162406,,,
common3,Gemini-3.1-Flash-Lite,PrimeKG,71,0.7193028541620091,0.6502966176689768,0.7814194969197903,0.4281112601535137,0.3545961416648037,0.49942390453834123
common3,Gemini-3.1-Flash-Lite,BioKG,71,0.6924168467595697,0.6246540818988001,0.7576566963509451,0.40122525275107435,0.32679966372307917,0.47269204734580317
common3,Gemini-3.1-Flash-Lite,DRKG,71,0.707250291874705,0.6409475215490474,0.7703979897905955,0.41605869786620964,0.3476055096008147,0.4854071729761283
